system,backend,scene,metric,size,ms,throughput,joules,uj_per_unit
hyperfun,interpreter,s1_sphere,grid,193,1457.768,4.932,-1.000,-1.0000
hyperfun,interpreter,s2_csg,grid,193,2922.043,2.460,-1.000,-1.0000
hyperfun,interpreter,s3_blend,grid,193,4419.974,1.626,-1.000,-1.0000
hyperfun,interpreter,s4_gyroid,grid,193,5014.029,1.434,-1.000,-1.0000
hyperfun,interpreter,s5_twist,grid,193,3418.775,2.103,-1.000,-1.0000
hyperfun,interpreter,c1_gear,grid,193,63262.574,0.114,-1.000,-1.0000
hyperfun,interpreter,c2_colonnade,grid,193,67718.236,0.106,-1.000,-1.0000
libfive,cpu-array,s1_sphere,grid,193,32.437,221.634,-1.000,-1.0000
libfive,cpu-array,s2_csg,grid,193,32.105,223.920,-1.000,-1.0000
libfive,cpu-array,s3_blend,grid,193,42.800,167.967,-1.000,-1.0000
libfive,cpu-array,s4_gyroid,grid,193,76.610,93.839,-1.000,-1.0000
libfive,cpu-array,s5_twist,grid,193,45.799,156.970,-1.000,-1.0000
libfive,cpu-array,c1_gear,grid,193,311.772,23.059,-1.000,-1.0000
libfive,cpu-array,c2_colonnade,grid,193,195.181,36.833,-1.000,-1.0000
libfive,cpu-heightmap,s1_sphere,render3d,512,5.115,51.253,-1.000,-1.0000
libfive,cpu-heightmap,s2_csg,render3d,512,5.465,47.970,-1.000,-1.0000
libfive,cpu-heightmap,s3_blend,render3d,512,6.658,39.374,-1.000,-1.0000
libfive,cpu-heightmap,s4_gyroid,render3d,512,9.278,28.253,-1.000,-1.0000
libfive,cpu-heightmap,s5_twist,render3d,512,5.901,44.427,-1.000,-1.0000
libfive,cpu-heightmap,c1_gear,render3d,512,41.971,6.246,-1.000,-1.0000
libfive,cpu-heightmap,c2_colonnade,render3d,512,27.954,9.378,-1.000,-1.0000
libfive,cpu-heightmap,s1_sphere,render3d,1024,13.649,76.823,-1.000,-1.0000
libfive,cpu-heightmap,s2_csg,render3d,1024,13.070,80.226,-1.000,-1.0000
libfive,cpu-heightmap,s3_blend,render3d,1024,21.396,49.009,-1.000,-1.0000
libfive,cpu-heightmap,s4_gyroid,render3d,1024,28.431,36.881,-1.000,-1.0000
libfive,cpu-heightmap,s5_twist,render3d,1024,13.186,79.521,-1.000,-1.0000
libfive,cpu-heightmap,c1_gear,render3d,1024,61.986,16.916,-1.000,-1.0000
libfive,cpu-heightmap,c2_colonnade,render3d,1024,41.852,25.055,-1.000,-1.0000
frep4,cpu_ir-simd8,s1_sphere,grid,193,25.615,280.653,-1.000,-1.0000
frep4,cpu_ir-simd8,s2_csg,grid,193,27.099,265.289,-1.000,-1.0000
frep4,cpu_ir-simd8,s3_blend,grid,193,65.856,109.163,-1.000,-1.0000
frep4,cpu_ir-simd8,s4_gyroid,grid,193,47.507,151.326,-1.000,-1.0000
frep4,cpu_ir-simd8,s5_twist,grid,193,23.146,310.591,-1.000,-1.0000
frep4,cpu_ir-simd8,c1_gear,grid,193,78.595,91.469,-1.000,-1.0000
frep4,cpu_ir-simd8,c2_colonnade,grid,193,117.025,61.432,-1.000,-1.0000
mpr,gpu-cuda,s1_sphere,render3d,512,3.136,83.580,-1.000,-1.0000
mpr,gpu-cuda,s1_sphere,render3d,1024,10.511,99.762,-1.000,-1.0000
mpr,gpu-cuda,_run,energy,0,638.76,0,29.6,46.3817
mpr,gpu-cuda,s2_csg,render3d,512,3.069,85.418,-1.000,-1.0000
mpr,gpu-cuda,s2_csg,render3d,1024,9.416,111.360,-1.000,-1.0000
mpr,gpu-cuda,_run,energy,0,528.89,0,40.6,76.8380
mpr,gpu-cuda,s3_blend,render3d,512,3.133,83.676,-1.000,-1.0000
mpr,gpu-cuda,s3_blend,render3d,1024,10.802,97.077,-1.000,-1.0000
mpr,gpu-cuda,_run,energy,0,541.31,0,40.8,75.4220
mpr,gpu-cuda,s4_gyroid,render3d,512,24.043,10.903,-1.000,-1.0000
mpr,gpu-cuda,s4_gyroid,render3d,1024,6199.279,0.169,-1.000,-1.0000
mpr,gpu-cuda,_run,energy,0,40563.10,0,3553.4,87.6023
mpr,gpu-cuda,s5_twist,render3d,512,24.251,10.810,-1.000,-1.0000
mpr,gpu-cuda,s5_twist,render3d,1024,6804.271,0.154,-1.000,-1.0000
mpr,gpu-cuda,_run,energy,0,44048.38,0,4086.1,92.7646
